product,description,page
ARDEX A 18,"Opis: Szlam sczepny ze wskaźnikiem koloru do oznaczenia czasu użycia. Emulsja sczepna ze wskaźnikiem koloru do oznaczenia czasu użycia. Do wykonywania jastrychów związanych z podłożem, wykonanych z: – „A35” – cement jastrychowy szybkowiążący, 1-dniowy, – „A38” – cement jastrychowy szybkowiążący, 2-dniowy, i innych zapraw cementowych na podłożach betonowych, jastrychach cementowych oraz innych podłożach takich jak: chłonne okładziny ceramiczne, okładziny betonowe. Jako warstwa sczepna podczas prac wyrównawczych zaprawami cementowymi. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 5,75 l wody : 25 kg proszku co odpowiada ok. 1 części objętościowej wody : 3 części objętościowych proszku. Gęstość nasypowa: ok. 1,5 kg/l. Gęstość świeżej zaprawy: ok. 1,8 kg/l. Zużycie: ok. 1,5 kg/m2. Czas użycia (+20°C): ok. 60 min. Czas otwarty (+20°C): ok. 30 min. Wytrzymałość na ściskanie: po 1 dniu ok. 8 N/mm2, po 7 dniach ok. 13 N/mm2, po 28 dniach ok. 26 N/mm2. Wytrzymałość na zginanie: po 1 dniu ok. 2 N/mm2, po 7 dniach ok. 3 N/mm2, po 28 dniach ok. 7 N/mm2. Przyczepność do podłoża betonowego: > 1,5 N/mm2. Własności korozyjne: nie prowadzi do korozji elementów stalowych. Ogrzewanie podłogowe: tak. GISCODE: ZP1 - produkt zawiera cement o niskiej zawartości chromianów. EMICODE: EC1 + R Plus - bardzo niskoemisyjny. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 22962 40 24705 22962 3 40 worków",12
ARDEX A 35,"Opis: Spoiwo jastrychowe szybkowiążące, 1-dniowe. Efekt ARDURAPID®. Po 3 godzinach możliwość obciążania ruchem pieszym, po 1 dniu zdolny do przyjęcia okładzin podłogowych i w pełni użyteczny. Minimalne wartości wytrzymałości wymagane przez normę DIN 18 560 zostają osiągnięte już po 1 dniu. Wykonywanie jastrychów cementowych po zarobieniu cementu „A 35” z kruszywem o ziarnistości 0-8 mm i wodą do plastycznej konsystencji. Również jako środek wiążący do lekkich wypełniaczy (granulki styropianowe). Uzyskujemy lekką masę wypełniającą do wyrównywania większych nierówności pod system pływających podłóg żywicznych z zastosowaniem „EP 25”. Do stosowania: wewnątrz. Proporcje mieszania: 1: 4 (25 kg „A 35” 100 kg piasku) o frakcji 0-8 mm oraz 6-11 l wody (zależnie od wilgotności piasku); 1 : 5 (25 kg „A 35” 125 kg piasku) o frakcji 0-8 mm oraz 6-11 l wody (zależnie od wilgotności piasku). Gęstość świeżej zaprawy: ok. 2,0 kg/l Zużycie materiału: ok. 3,7 kg proszku na m2 przy grubości 1 cm przy proporcji mieszania 1 : 4; ok. 3,1 kg proszku na m2 przy grubości 1 cm przy proporcji mieszania 1 : 5. Czas pracy (20°C): ok, 60 min. Możliwość obciążenia ruchem pieszym: po ok. 3 godz. Wartość pH: ok. 12. Własności korozyjne: nie zawiera składników o działaniu korozyjnym na stal. GISCODE: ZP 1 - produkt zawiera cement niskochromianowy. Przydatność w systemie ogrzewania podłogowego: tak. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 52107 40 24705 52107 9 40 worków",13
ARDEX A 35 MIX,"Opis: Zaprawa szybkowiążąca. Z efektem ARDURAPID®. Możliwość chodzenia po 3 godzinach. Gotowy do układania wszystkich okładzin po 1 dniu. Z udziałem spoiwa „A 35”. Wykonywanie jastrychów cementowych wewnątrz pomieszczeń. Możliwe rozwiązania: – łącznych z podłożem, – pływających na warstwie poślizgowej – np.: folia, – pływająca na warstwie izolacyjnej – np.: styropian. Do naprawy i renowacji jastrychów cementowych. Układanie płyt z kamienia naturalnego bez przebarwień z marmuru, marmuru jurajskiego, granitu, kwarcytu itp. Po jastrychach cementowych „A 35 MIX” można chodzić już po 3 godzinach. Po 3 godzinach możliwość układania okładzin ceramicznych, kamieni naturalnych i płyt betonowych Po 1 dniu możliwość klejenia wykładzin PVC i tekstylnych oraz parkietu. Do stosowania: wewnątrz. Zużycie materiału: 18,5 kg proszku na m² na 1 cm. Czas pracy (+20 °C): ok. 60 minut. Wartość pH: ok. 11. Własności korozyjne: nie zawiera składników o działaniu korozyjnym na stal. Magazynowanie: W suchych pomieszczeniach przez ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 KG WOREK 52109 4024705521093 40 WORKÓW",14
ARDEX A 38,"Opis: Spoiwo jastrychowe szybkowiążące, 2 dniowe. Do wykonywania jastrychów cementowych do szybkiego obciążenia i użytkowania: - jastrychy łączne, - jastrychy pływające na warstwach oddzielających/folia, - jastrychy pływające na warstwach izolacyjnych, - jastrychy z systemem ogrzewania podłogowego. Możliwość położenia: - terakoty, - płytek z kamienia naturalnego oraz płyt betonowych, - okładzin elastycznych i tekstylnych, - parkietu. Po upływie czterech godzin można położyć terakotę, płytki z kamienia naturalnego oraz płyty betonowe. Po upływie dwóch dni można położyć okładziny elastyczne i tekstylne. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: 1 : 5 (25 kg „A 38” (1 oryginalny worek) 125 kg piasku i żwiru o frakcji 0-8 mm oraz 6-11 l wody) w zależności od stopnia wilgotności piasku. Zużycie materiału: 3,1 kg proszku na m2/cm grubości. Czas pracy (20°C): ok. 60 min. Możliwość obciążania ruchem pieszym (20°C): po upływie ok. 2-3 godz. Wytrzymałość na ściskanie: po upływie 1 dnia ok. 25 N/mm2; po upływie 7 dni ok. 40 N/mm2; po upływie 28 dni ok. 45 N/mm2. Wytrzymałość na rozciąganie przy zginaniu: po upływie 1 dnia ok. 4,0 N/mm2; po upływie 7 dni ok. 4,5 N/mm2; po upływie 28 dni ok. 5,5 N/mm2. Możliwość stosowania zaprawy na posadzkach z systemami ogrzewania podłogowego: tak Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 51140 40 24705 51140 7 40 worków",15
ARDEX A 38 MIX,"Opis: Jastrych 4-godzinny. Z efektem ARDURAPID®. Możliwość chodzenia po 3 godzinach.. Gotowy do układania okładzin po 1 dniu. Z udziałem spoiwa „A 38”. Wykonywanie jastrychów cementowych. Po 4 godzinach możliwość układania okładzin ceramicznych, kamieni naturalnych i płyt betonowych. Po 2 dniach możliwość klejenia wykładzin PVC i tekstylnych oraz parkietu. Możliwe rozwiązania: - łącznych z podłożem, - pływających na warstwie poślizgowej – np.: folia, - pływająca na warstwie izolacyjnej – np.: styropian. Do szybkiego klejenia: – okładzin ceramicznych, – płyt betonowych, kamieni naturalnych, – wykładzin elastycznych i tekstylnych, – parkietu. Do stosowania: wewnątrz i zewnątrz. Zużycie materiału: ok. 22,0 kg proszku na m² na 1 cm. Czas pracy (+20 °C): ok. 60 minut. Wartość pH: ok. 11. Własności korozyjne: nie zawiera składników o działaniu korozyjnym na stal. Opakowanie: worki po 25 kg netto. Magazynowanie: W suchych pomieszczeniach przez ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu.",16
ARDEX A 58,"Opis: Spoiwo jastrychowe szybkowiążące, bezskurczowe. Bezskurczowe spoiwo do jastrychów cementowych z długim czasem użycia do wykonywania szybko obciążalnych jastrychów cementowych. Długi czas użycia również w wyższych temperaturach pracy. Możliwość układania płytek ceramicznych, kamiennych, betonowych już po 1 dniu. Kontrolowany system wiązania pod względem skurczu, naprężeń oraz wysychania. Możliwość chodzenia po 12 godzinach. Możliwość wytwarzania lekkich jastrychów. Po 4 dniach możliwość klejenia wykładzin dyfuzyjnie zamkniętych, dywanowych oraz parkietu. Niskoemisyjny EC1PLUS r . Do stosowania: wewnątrz i zewnątrz. Czas pracy: 120 minut, przeznaczony szczególnie do prac w podwyższonych temperaturach, możliwość mieszania z lekkimi wypełniaczami. Klasy wytrzymałości: CT-C40-F4 bis CT-C50-F6. Opakowanie Nr artykułu EAN-Nr Paleta 25 KG WOREK 23629 40 24705 23629 4 40 WORKÓW",17
ARDEX EP 25,"Opis: Jastrych epoksydowy. Nie zawiera rozpuszczalników i wody. Po 1 dniu możliwość układania okładzin podłogowych oraz tworzenia cienkich warstw jastrychu, wysoka wytrzymałość na obciążenia ściskające i rozciągające, materiał łatwy w stosowaniu, możliwość podawania mixokretem. Po zmieszaniu ze specjalnym piaskiem „SPS” tworzenie jastrychów epoksydowych łącznych, na warstwach oddzielających, na warstwach izolujących. Do użycia w nowym budownictwie, ale także w starym oraz renowacjach, na przykład na podłogach drewnianych oraz w celu renowacji starych jastrychów cementowych i anhydrytowych. Do stosowania: wewnątrz. Proporcje mieszania: 1 : 7,7 części wagowych („EP 25” : piasek). Ciężar właściwy: ok. 1,8 kg/l. Gęstość świeżej zaprawy: ok. 1,8 kg/l. Wytrzymałość na rozciąganie przy zginaniu (po 7 dniach w temperaturze 23°C): ok. 11,5 N/mm2. Wytrzymałość na ściskanie (po 7 dniach w temperaturze 23°C): ok. 35 N/mm2. Czas pracy (20°C): ok. 60 min. Zużycie materiału: ok. 2,1 kg „EP 25” i 16 kg „SPS” (specjalnego piasku na m2/cm grubości warstwy). Zdolność do obciążenia ruchem pieszym (20°C): po ok. 12 godz. Możliwość układania okładzin podłogowych (20°C): po ok. 24 godz. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Nr Opakowanie artyk EAN-Nr Paleta ułu 13,1 kg 40 24705 39 wiader Wiadra z deklami składające się z: 11,6 kg komponentu A 60155 jednostka 60155 9 + 1,5 kg komponentu B = 13,1 kg 3,2 kg 40 24705 96 wiader Wiadra z deklami składające się z: 2,84 kg komponentu A 60156 jednostka 60156 6 + 0,36 kg komponentu B = 3,2 kg",18
ARDEX SPS,Opis: Piasek specjalny do jastrychów epoksydowych. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 73125 40 24705 73125 6 40 worków,19
ARDEX BM-P,"Opis: Bitumiczny środek gruntujący do arkuszy samoprzylepnych. Nie zawiera rozpuszczalników, gotowy do użycia, na bazie kauczukowo-bitumicznej. Cienkowarstwowa zaprawa według DIN 18195-2. Grunt dla „BM” samoprzylepnego arkusza na zimno. „BM-P” utwardza podłoże, wiąże kurz, polepsza przyczepność samoprzylepnego arkusza. Zużycie materiału: ok. 0,15-0,30 l/m2. Gęstość: ok. 1,0 kg/l. Zawartość części stałych: ok. 60%. Oznakowanie zgodnie z GefStoffV: brak. GISCODE: BB P10. Magazynowanie: Chronić przed mrozem, przechowywać w suchych pomieszczeniach ok. 12 miesięcy. Opakowanie Nr artykułu EAN-Nr Paleta 10 l wiadro 73261 40 24705 73261 1 44 wiadra",20
ARDEX BM,"Opis: Bitumiczny arkusz samoprzylepny. Samoprzylepny uszczelniający arkusz rozwijany z rolki, zamyka i łączy rysy. Pokryty obustronnie odporną na uszkodzenia folią nośną. Uszczelnienie przed kapilarnie podciągającą wodą oraz przed wilgocią na podłożach pod pływające jastrychy. Uszczelnianie budynków zgodnie z DIN 18195: - ścian piwnicznych, - płyt podłogowych, - tarasów i balkonów, - wilgotnych pomieszczeń, - garaży podziemnych, - murów, - fundamentów. Do stosowania: na pionowych i poziomych powierzchniach. Zużycie materiału: ok, 1,1 m2 na m2 powierzchni uszczelniającej. Waga: ok. 1,8 kg/m2. Szerokość: 1 m. Gęstość: >1,6 mm. Kolor: czarno-szary. Temperatura pracy: -5°C do +30°C. Odporność na temperaturę (DIN 52123): > +70°C. Wypełnianie pęknięć (E DIN 28052-6): > 5 mm. Zachowanie podczas zginania na zimno (DIN 52123): < -30°C. Nieprzepuszczalność wody (DIN 52123, 10.2): 4 bary/24 godz. Ognioodporność: klasa materiału B2. Największa siła zrywająca: 235/220 N/50 mm. Wydłużenie przy największej sile zrywającej: 200/225% Oznakowanie zgodnie z GefStoffV: brak. Magazynowanie: w pozycji pionowej w chłodnym miejscu. Chronić przed mrozem i światłem. Przechowywać w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętych opakowaniach. Opakowanie Nr artykułu EAN-Nr Paleta 1 rolka 15 m2 karton 73259 40 24705 73259 8 15 kartonów 1 rolka 5 m2 karton 73258 40 24705 73258 1 24 kartony",21
ARDEX BM-T10,"Opis: Taśma samoprzylepna. Obustronnie silnie klejąca taśma, również przy niskich temperaturach. Stosowana w systemie z „BM” taśma samoprzylepna na zimno (KSK). Uszczelnianie w systemie z „BM KSK” - taśma. Uszczelnianie fug podłużnych i poprzecznych pod arkuszami samoprzylepnymi na zimno, przejść ściana-podłoga, kąty wewnętrzne i zewnętrzne, rogi i wklęsłości oraz skomplikowane detale, jak: izolowane przepusty rur, kratki ściekowe podłogowe itd. Szerokość: ok. 10 cm. Grubość: ok. 1 mm Waga: 1 kg/m2. Temperatura pracy: -5°C do +30°C. Temperatura stabilności (DIN 52132): < +70°C. Wypełnianie pęknięć (E DIN 28052-6): > 5 mm. Zachowanie podczas zginania na zimno (DIN 52123,12): < -30°C. Zachowanie w kontakcie z ogniem (DIN 4102): klasa materiału B2. Temperatura pracy: od +5°C do 30°C. Ognioodporność: klasa materiału B2. Oznakowanie zgodnie z GefStoffV: brak. Magazynowanie: w pozycji pionowej w chłodnym miejscu. Chronić przed mrozem i światłem. Przechowywać w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętych opakowaniach. Opakowanie Nr artykułu EAN-Nr Paleta 1 rolka 20 m 4 szt. 73262 40 24705 73262 8 140 rolek",22
ARDEX BM-V10,"Opis: Taśma do zakończeń wzmacniana tkaniną polipropylenową. Służy do uszczelniania w systemie z taśmą samoprzylepną przyklejaną na zimno „BM”. Przeznaczona do wykonywania zakończeń izolacji na pionowo i poziomo układanych arkuszach taśmy samoprzylepnej przyklejanej na zimno „BM” – pod tynk i okładzinę. „BM-V10” jest taśmą z kauczuku butylowego PIB, kaszerowaną tkaniną polipropylenową, odporną na rozrywanie, charakteryzującą się wysoką lepkością, przeznaczoną do wykonywania zakończeń izolacji. Szerokość: ok. 10 cm. Grubość: ok. 1,6 mm. Waga: ok. 1,7 kg/m2. Temperatura stosowania: +50°C do +300°C. Wytrzymałość termiczna: od -300°C do +800°C. Odporność na rozrywanie (DIN EN 14410): ok. 70 N/25 mm. Wydłużenie względne w przypadku rozrywania: ok. 75%. Ognioodporność (DIN 4102): klasa materiałowa B2. Oznakowanie zgodnie z GefStoffV: brak. Magazynowanie: składować w chłodzie, w pozycji stojącej, w suchych pomieszczeniach, oryginalnie zamknięte ok. 12 miesięcy. Opakowanie Nr artykułu EAN-Nr Paleta 1 rolka 20 m 4 szt. 70345 40 24705 70345 1 140 rolek",23
